Wavelength (nm),Relative Spectral Sensitivity,,,
402.3659,0.0458,,,
404.1417,0.0458,,,
405.9163,0.0485,,,
407.6909,0.0511,,,
409.4656,0.0538,,,
411.2402,0.0564,,,
413.0148,0.0591,,,
414.7894,0.0618,,,
414.7883,0.0644,,,
416.5629,0.0671,,,
418.3375,0.0697,,,
420.1122,0.0724,,,
421.8868,0.075,,,
421.8856,0.0777,,,
423.6602,0.0803,,,
425.4348,0.083,,,
425.4337,0.0857,,,
427.2095,0.0857,,,
427.2083,0.0883,,,
428.9828,0.091,,,
428.9817,0.0936,,,
430.7564,0.0963,,,
432.531,0.0989,,,
434.3056,0.1016,,,
436.0802,0.1042,,,
436.0791,0.1069,,,
437.8537,0.1096,,,
439.6282,0.1122,,,
441.4029,0.1149,,,
441.4018,0.1175,,,
443.1764,0.1202,,,
444.951,0.1228,,,
446.7256,0.1255,,,
446.7245,0.1282,,,
448.499,0.1308,,,
450.2737,0.1335,,,
450.2725,0.136,,,
452.0472,0.1388,,,
452.046,0.1414,,,
453.8218,0.1414,,,
455.5964,0.1441,,,
455.5952,0.1467,,,
457.3699,0.1494,,,
459.1445,0.1521,,,
459.1433,0.1547,,,
460.9179,0.1574,,,
462.6926,0.16,,,
462.6914,0.1627,,,
464.466,0.1653,,,
466.2406,0.168,,,
466.2394,0.1707,,,
468.0141,0.1733,,,
469.7887,0.176,,,
471.5633,0.1786,,,
471.5621,0.1813,,,
473.3368,0.1839,,,
475.1114,0.1865,,,
475.1102,0.1892,,,
476.8848,0.1919,,,
476.8837,0.1945,,,
478.6583,0.1972,,,
480.4329,0.1999,,,
480.4317,0.2025,,,
482.2064,0.2052,,,
483.9809,0.2078,,,
483.9798,0.2105,,,
485.7544,0.2131,,,
487.5291,0.2158,,,
487.5279,0.2185,,,
489.3025,0.2211,,,
491.0771,0.2238,,,
491.0759,0.2264,,,
492.8506,0.2291,,,
492.8494,0.2317,,,
494.624,0.2344,,,
496.3986,0.2371,,,
496.3975,0.2397,,,
498.1721,0.2424,,,
499.9466,0.245,,,
499.9455,0.2477,,,
501.7202,0.2503,,,
503.4948,0.253,,,
503.4936,0.2556,,,
505.2682,0.2583,,,
505.2671,0.261,,,
507.0417,0.2636,,,
507.0405,0.2663,,,
508.8151,0.2689,,,
510.5897,0.2716,,,
510.5886,0.2742,,,
512.3632,0.2769,,,
512.362,0.2795,,,
514.1366,0.2822,,,
515.9113,0.2849,,,
515.9101,0.2875,,,
517.6846,0.2902,,,
519.4593,0.2928,,,
519.4582,0.2955,,,
521.2328,0.2981,,,
521.2316,0.3008,,,
523.0062,0.3035,,,
524.7809,0.3061,,,
524.7797,0.3088,,,
526.5543,0.3114,,,
528.3289,0.3141,,,
528.3277,0.3167,,,
530.1024,0.3194,,,
530.1012,0.322,,,
531.8758,0.3247,,,
533.6505,0.3274,,,
533.6493,0.33,,,
535.4239,0.3327,,,
537.1985,0.3353,,,
537.1973,0.338,,,
538.972,0.3406,,,
540.7466,0.3433,,,
540.7454,0.3458,,,
542.52,0.3486,,,
542.5189,0.3513,,,
544.2934,0.3538,,,
546.0681,0.3566,,,
546.0669,0.3592,,,
547.8416,0.3618,,,
549.6162,0.3645,,,
549.615,0.3672,,,
551.3896,0.3699,,,
551.3885,0.3725,,,
553.1631,0.3752,,,
554.9377,0.3778,,,
556.7123,0.3805,,,
556.7112,0.3831,,,
558.4858,0.3858,,,
558.4846,0.3884,,,
560.2591,0.3911,,,
562.0338,0.3938,,,
562.0327,0.3963,,,
563.8073,0.3991,,,
565.5819,0.4017,,,
565.5807,0.4043,,,
567.3554,0.407,,,
569.13,0.4097,,,
569.1288,0.4123,,,
570.9034,0.415,,,
572.6781,0.4177,,,
572.6768,0.4203,,,
574.4515,0.423,,,
576.2261,0.4256,,,
576.225,0.4283,,,
577.9996,0.4309,,,
577.9984,0.4336,,,
579.773,0.4363,,,
581.5476,0.4389,,,
581.5465,0.4416,,,
583.3211,0.4442,,,
585.0957,0.4469,,,
585.0945,0.4495,,,
586.8692,0.4522,,,
588.6438,0.4548,,,
588.6425,0.4575,,,
590.4172,0.4602,,,
592.1919,0.4628,,,
592.1907,0.4655,,,
593.9653,0.4681,,,
595.7399,0.4708,,,
595.7388,0.4734,,,
597.5133,0.4761,,,
599.288,0.4788,,,
599.2868,0.4814,,,
601.0615,0.4841,,,
602.8361,0.4867,,,
602.8349,0.4894,,,
604.6095,0.492,,,
606.3841,0.4947,,,
606.383,0.4973,,,
608.1576,0.5,,,
609.9322,0.5027,,,
609.931,0.5053,,,
611.7057,0.508,,,
613.4803,0.5106,,,
615.2549,0.5133,,,
615.2537,0.5159,,,
