Wavelength (nm) - Plot 0,Counts
177.981,205
178.365,207
178.749,209
179.133,205
179.516,206
179.9,204
180.284,206
180.667,205
181.051,208
181.435,207
181.818,206
182.202,205
182.585,209
182.968,206
183.352,206
183.735,209
184.118,207
184.502,208
184.885,207
185.268,206
185.651,207
186.035,211
186.418,204
186.801,207
187.184,206
187.567,209
187.95,208
188.333,206
188.716,211
189.099,203
189.481,205
189.864,210
190.247,206
190.63,211
191.012,208
191.395,204
191.778,209
192.16,205
192.543,207
192.926,209
193.308,207
193.691,211
194.073,209
194.455,210
194.838,211
195.22,211
195.602,204
195.985,207
196.367,210
196.749,208
197.131,209
197.514,211
197.896,207
198.278,206
198.66,209
199.042,209
199.424,208
199.806,205
200.188,209
200.57,207
200.951,211
201.333,207
201.715,208
202.097,211
202.478,206
202.86,206
203.242,209
203.623,212
204.005,205
204.386,210
204.768,213
205.149,207
205.531,211
205.912,208
206.294,214
206.675,207
207.056,203
207.438,208
207.819,209
208.2,209
208.581,207
208.962,210
209.343,210
209.724,211
210.105,218
210.486,207
210.867,208
211.248,205
211.629,213
212.01,207
212.391,213
212.772,210
213.153,210
213.533,209
213.914,213
214.295,213
214.675,208
215.056,209
215.436,211
215.817,213
216.197,203
216.578,209
216.958,203
217.339,219
217.719,208
218.099,206
218.48,212
218.86,207
219.24,211
219.62,207
220,205
220.38,209
220.761,207
221.141,213
221.521,204
221.901,207
222.281,210
222.66,210
223.04,209
223.42,209
223.8,209
224.18,208
224.559,209
224.939,208
225.319,209
225.698,211
226.078,212
226.458,206
226.837,209
227.217,211
227.596,215
227.975,208
228.355,211
228.734,208
229.114,206
229.493,206
229.872,213
230.251,216
230.63,211
231.01,207
231.389,205
231.768,206
232.147,209
232.526,210
232.905,209
233.284,206
233.663,209
234.042,213
234.42,211
234.799,211
235.178,209
235.557,209
235.935,209
236.314,207
236.693,208
237.071,210
237.45,210
237.828,212
238.207,204
238.585,210
238.964,208
239.342,209
239.72,211
240.099,205
240.477,209
240.855,209
241.234,209
241.612,204
241.99,210
242.368,212
242.746,209
243.124,210
243.502,212
243.88,209
244.258,207
244.636,210
245.014,208
245.392,206
245.769,212
246.147,208
246.525,212
246.903,213
247.28,207
247.658,208
248.035,215
248.413,206
248.79,209
249.168,208
249.545,210
249.923,208
250.3,213
250.677,212
251.055,210
251.432,211
251.809,203
252.186,204
252.564,204
252.941,205
253.318,204
253.695,207
254.072,205
254.449,203
254.826,208
255.203,210
255.58,207
255.957,213
256.333,205
256.71,210
257.087,209
257.464,207
257.84,213
258.217,207
258.593,204
258.97,208
259.347,210
259.723,203
260.1,209
260.476,206
260.852,213
261.229,206
261.605,205
261.981,210
262.358,206
262.734,208
263.11,206
263.486,207
263.862,212
264.238,208
264.614,205
264.99,209
265.366,210
265.742,205
266.118,201
266.494,210
266.87,204
267.245,207
267.621,207
267.997,208
268.373,211
268.748,206
269.124,211
269.499,206
269.875,211
270.25,203
270.626,207
271.001,205
271.377,212
271.752,210
272.127,213
272.503,208
272.878,205
273.253,209
273.628,204
274.004,210
274.379,208
274.754,210
275.129,211
275.504,204
275.879,212
276.254,211
276.629,203
277.003,208
277.378,207
277.753,208
278.128,205
278.502,212
278.877,209
279.252,210
279.626,207
280.001,210
280.376,207
280.75,208
281.124,209
281.499,208
281.873,208
282.248,209
282.622,214
282.996,211
283.37,203
283.745,208
284.119,206
284.493,210
284.867,205
285.241,209
285.615,210
285.989,209
286.363,207
286.737,201
287.111,205
287.485,207
287.859,209
288.232,208
288.606,210
288.98,212
289.354,211
289.727,209
290.101,210
290.474,207
290.848,209
291.221,205
291.595,207
291.968,211
292.342,202
292.715,213
293.088,205
293.462,208
293.835,204
294.208,209
294.581,206
294.954,206
295.327,212
295.7,206
296.073,210
296.446,211
296.819,203
297.192,210
297.565,206
297.938,206
298.311,211
298.684,209
299.056,210
299.429,208
299.802,211
300.174,205
300.547,212
300.919,208
301.292,207
301.664,209
302.037,210
302.409,206
302.782,206
303.154,211
303.526,213
303.898,213
304.271,211
304.643,207
305.015,210
305.387,211
305.759,212
306.131,209
306.503,211
306.875,205
307.247,204
307.619,209
307.991,207
308.363,209
308.734,203
309.106,205
309.478,202
309.85,212
310.221,205
310.593,208
310.964,206
311.336,205
311.707,203
312.079,211
312.45,208
312.822,207
313.193,208
313.564,211
313.935,211
314.307,208
314.678,205
315.049,210
315.42,210
315.791,211
316.162,206
316.533,209
316.904,210
317.275,211
317.646,204
318.017,210
318.388,207
318.759,202
319.129,212
319.5,210
319.871,205
320.241,211
320.612,206
320.982,208
321.353,207
321.723,208
322.094,211
322.464,206
322.835,209
323.205,207
323.575,208
323.946,210
324.316,206
324.686,219
325.056,209
325.426,207
325.796,206
326.166,210
326.536,203
326.906,212
327.276,205
327.646,207
328.016,207
328.386,206
328.756,209
329.125,211
329.495,212
329.865,209
330.234,208
330.604,212
330.974,209
331.343,212
331.713,207
332.082,209
332.451,208
332.821,211
333.559,205
333.929,208
334.298,209
334.667,207
335.036,206
335.405,212
335.774,208
336.143,208
336.512,207
336.881,202
337.25,206
337.619,208
337.988,212
338.357,205
338.726,209
339.094,203
339.463,206
339.832,206
340.2,207
340.569,205
341.306,205
341.675,207
342.043,208
342.411,200
342.78,208
343.148,211
343.516,212
343.885,211
344.253,207
344.621,206
344.989,209
345.357,206
345.725,211
346.093,207
346.461,215
346.829,209
347.197,210
347.565,204
347.933,208
348.301,213
348.668,211
349.036,209
349.404,210
349.771,204
350.139,205
350.507,208
350.874,203
351.242,207
351.609,212
351.976,206
352.344,206
352.711,209
353.079,206
353.446,211
353.813,207
354.18,203
354.547,213
354.914,208
355.282,210
355.649,211
356.016,204
356.383,212
356.749,205
357.116,210
357.483,208
357.85,205
358.217,212
358.584,209
358.95,209
359.317,206
359.683,208
360.05,209
360.417,204
360.783,205
361.15,211
361.516,205
361.882,205
362.249,207
362.615,213
362.981,211
363.348,206
363.714,210
364.08,203
364.446,206
364.812,204
365.178,204
365.544,212
365.91,209
366.276,209
366.642,202
367.008,210
367.374,205
367.739,209
368.105,202
368.471,211
368.837,210
369.202,207
369.568,213
369.933,209
370.299,211
370.664,206
371.03,208
371.395,208
371.76,212
372.126,213
372.491,214
372.856,209
373.222,207
373.587,208
373.952,210
374.317,206
374.682,207
375.047,209
375.412,207
375.777,208
376.142,215
376.507,210
376.871,212
377.236,209
377.601,201
377.966,212
378.33,204
378.695,210
379.06,207
379.424,210
379.789,210
380.153,205
380.517,205
380.882,208
381.246,209
381.611,207
381.975,208
382.339,210
382.703,204
383.067,206
383.432,207
383.796,212
384.16,202
384.524,204
384.888,207
385.252,207
385.615,209
385.979,211
386.343,211
386.707,207
387.071,208
387.434,206
387.798,205
388.162,208
388.525,210
388.889,205
389.252,212
389.616,209
389.979,209
390.342,207
390.706,209
391.069,209
391.432,205
391.796,208
392.159,208
392.522,209
392.885,209
393.248,215
393.611,212
393.974,208
394.337,208
394.7,207
395.063,210
395.426,211
395.789,209
396.151,208
396.514,211
396.877,207
397.239,204
397.602,208
397.964,213
398.327,211
398.689,210
399.052,210
399.414,210
399.777,216
400.139,211
400.501,214
400.864,211
401.226,214
401.588,215
401.95,215
402.312,211
402.674,211
403.036,219
403.398,212
403.76,219
404.122,217
404.484,214
404.846,224
405.207,222
405.569,228
405.931,227
406.293,225
406.654,222
407.016,228
407.377,231
407.739,229
408.1,231
408.462,232
408.823,239
409.184,234
409.546,244
409.907,244
410.268,250
410.629,251
410.991,249
411.352,257
411.713,258
412.074,260
412.435,265
412.796,264
413.157,274
413.517,276
413.878,284
414.239,293
414.6,297
414.961,284
415.321,300
415.682,294
416.042,306
416.403,321
416.764,325
417.124,332
417.484,332
417.845,346
418.205,351
418.565,350
418.926,373
419.286,381
419.646,386
420.006,393
420.366,412
420.727,412
421.087,423
421.447,426
421.806,464
422.166,459
422.526,469
422.886,495
423.246,518
423.606,525
423.965,514
424.325,538
424.685,560
425.044,600
425.404,586
425.763,632
426.123,632
426.482,657
426.842,694
427.201,702
427.56,727
427.92,735
428.279,750
428.638,785
428.997,810
429.356,836
429.715,876
430.074,885
430.433,913
430.792,944
431.151,1006
431.51,995
431.869,1045
432.228,1053
432.587,1080
432.945,1159
433.304,1161
433.663,1177
434.021,1234
434.38,1280
434.738,1298
435.097,1312
435.455,1410
435.814,1442
436.172,1526
436.53,1496
436.888,1588
437.247,1612
437.605,1621
437.963,1691
438.321,1716
438.679,1746
439.037,1802
439.395,1800
439.753,1914
440.111,1909
440.469,1905
440.827,1940
441.185,1947
441.542,1945
442.258,1990
442.615,1992
442.973,1954
443.33,1933
443.688,1925
444.045,1902
444.403,1836
444.76,1802
445.118,1799
445.475,1834
445.832,1736
446.189,1752
446.547,1656
446.904,1614
447.261,1567
447.618,1443
447.975,1496
448.332,1462
448.689,1405
449.046,1374
449.403,1293
449.759,1244
450.116,1238
450.473,1204
450.83,1171
451.186,1125
451.543,1138
451.899,1107
452.256,1098
452.612,1027
452.969,1035
453.325,999
453.682,969
454.038,962
454.394,977
454.75,934
455.107,916
455.463,899
455.819,878
456.175,882
456.531,864
456.887,883
457.243,840
457.599,819
457.955,764
