Group #2023-03-29 11:06:49 AM
Angle of Incidence (deg), Isc (A)
-85.078125,-1.057817E-5
-81.562500,-2.038225E-5
-78.046875,-3.165694E-5
-75.234375,-4.097082E-5
-71.718750,-5.224552E-5
-68.203125,-6.499082E-5
-64.687500,-7.822634E-5
-61.171875,-9.048144E-5
-57.656250,-0.000101
-54.140625,-0.000113
-50.625000,-0.000122
-47.109375,-0.000131
-43.593750,-0.000139
-40.078125,-0.000147
-36.562500,-0.000154
-33.046875,-0.000156
-29.531250,-0.000160
-26.015625,-0.000163
-23.203125,-0.000164
-19.687500,-0.000167
-16.171875,-0.000169
-12.656250,-0.000172
-9.140625,-0.000173
-5.625000,-0.000175
-2.109375,-0.000176
1.406250,-0.000176
4.921875,-0.000176
8.437500,-0.000174
11.953125,-0.000172
15.468750,-0.000169
18.984375,-0.000166
22.500000,-0.000163
26.015625,-0.000159
28.828125,-0.000156
32.343750,-0.000152
35.859375,-0.000148
39.375000,-0.000144
42.890625,-0.000140
46.406250,-0.000136
49.921875,-0.000131
53.437500,-0.000126
56.953125,-0.000119
60.468750,-0.000112
63.984375,-0.000103
67.500000,-9.244225E-5
71.015625,-8.214797E-5
74.531250,-7.136348E-5
78.046875,-6.008878E-5
80.859375,-5.175531E-5
84.375000,-4.048062E-5
